sim_time_s,tm_rate_per_s,delta_tm_pct,baseline_tm_rate
8.9981,160.0000,3100.0000,5.0000
9.9981,160.0000,3100.0000,5.0000
10.9981,160.0000,3100.0000,5.0000
11.9981,160.0000,3100.0000,5.0000
12.9981,160.0000,3100.0000,5.0000
13.9981,160.0000,3100.0000,5.0000
14.9981,160.0000,3100.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,30.0000,500.0000,5.0000
3.9981,70.0000,1300.0000,5.0000
4.9981,110.0000,2100.0000,5.0000
5.9981,150.0000,2900.0000,5.0000
6.9981,190.0000,3700.0000,5.0000
7.9981,230.0000,4500.0000,5.0000
8.9981,240.0000,4700.0000,5.0000
9.9981,240.0000,4700.0000,5.0000
10.9981,240.0000,4700.0000,5.0000
11.9981,240.0000,4700.0000,5.0000
12.9981,240.0000,4700.0000,5.0000
13.9981,240.0000,4700.0000,5.0000
14.9981,240.0000,4700.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,30.0000,500.0000,5.0000
3.9981,70.0000,1300.0000,5.0000
4.9981,110.0000,2100.0000,5.0000
5.9981,150.0000,2900.0000,5.0000
6.9981,190.0000,3700.0000,5.0000
7.9981,230.0000,4500.0000,5.0000
8.9981,270.0000,5300.0000,5.0000
9.9981,310.0000,6100.0000,5.0000
10.9981,320.0000,6300.0000,5.0000
11.9981,320.0000,6300.0000,5.0000
12.9981,320.0000,6300.0000,5.0000
13.9981,320.0000,6300.0000,5.0000
1.9981,0.0000,-100.0000,5.0000
2.9981,30.0000,500.0000,5.0000
3.9981,74.0000,1380.0000,5.0000
4.9981,84.0000,1580.0000,5.0000
5.9981,84.0000,1580.0000,5.0000
6.9981,84.0000,1580.0000,5.0000
7.9981,84.0000,1580.0000,5.0000
8.9981,84.0000,1580.0000,5.0000
9.9981,84.0000,1580.0000,5.0000
10.9981,84.0000,1580.0000,5.0000
11.9981,84.0000,1580.0000,5.0000
12.9981,84.0000,1580.0000,5.0000
