sim_time_s,flowmod_cumulative,flowmod_attack_cumulative,excess_rate_per_s
7.9981,1106,1106,0.0000
8.9981,1374,1374,0.0000
9.9981,1640,1640,0.0000
10.9981,1906,1906,0.0000
11.9981,2174,2174,0.0000
12.9981,2440,2440,0.0000
13.9981,2706,2706,0.0000
14.9981,2974,2974,0.0000
15.9981,3240,3240,0.0000
16.9981,3506,3506,0.0000
17.9981,3774,3774,0.0000
18.9981,4040,4040,0.0000
19.9981,4306,4306,0.0000
20.9981,4574,4574,0.0000
21.9981,4840,4840,0.0000
22.9981,5106,5106,0.0000
23.9981,5374,5374,0.0000
1.9981,0,0,0.0000
2.9981,44,44,0.0000
3.9981,154,154,0.0000
4.9981,330,330,0.0000
5.9981,574,574,0.0000
6.9981,884,884,0.0000
7.9981,1260,1260,0.0000
8.9981,1660,1660,0.0000
9.9981,2060,2060,0.0000
10.9981,2460,2460,0.0000
11.9981,2860,2860,0.0000
12.9981,3260,3260,0.0000
13.9981,3660,3660,0.0000
14.9981,4060,4060,0.0000
15.9981,4460,4460,0.0000
16.9981,4860,4860,0.0000
17.9981,5260,5260,0.0000
18.9981,5660,5660,0.0000
19.9981,6060,6060,0.0000
20.9981,6460,6460,0.0000
21.9981,6860,6860,0.0000
22.9981,7260,7260,0.0000
23.9981,7660,7660,0.0000
24.9981,8060,8060,0.0000
25.9981,8460,8460,0.0000
26.9981,8860,8860,0.0000
27.9981,9260,9260,0.0000
28.9981,9660,9660,0.0000
29.9981,10060,10060,0.0000
30.9981,10460,10460,0.0000
31.9981,10860,10860,0.0000
32.9981,11260,11260,0.0000
33.9981,11660,11660,0.0000
34.9981,12060,12060,0.0000
35.9981,12460,12460,0.0000
36.9981,12860,12860,0.0000
37.9981,13260,13260,0.0000
1.9981,0,0,0.0000
2.9981,44,44,0.0000
3.9981,154,154,0.0000
4.9981,330,330,0.0000
5.9981,574,574,0.0000
6.9981,884,884,0.0000
7.9981,1260,1260,0.0000
8.9981,1704,1704,0.0000
9.9981,2214,2214,0.0000
10.9981,2746,2746,0.0000
11.9981,3280,3280,0.0000
12.9981,3814,3814,0.0000
13.9981,4346,4346,0.0000
14.9981,4880,4880,0.0000
15.9981,5414,5414,0.0000
16.9981,5946,5946,0.0000
17.9981,6480,6480,0.0000
18.9981,7014,7014,0.0000
19.9981,7546,7546,0.0000
20.9981,8080,8080,0.0000
21.9981,8614,8614,0.0000
1.9981,0,0,0.0000
2.9981,0,0,0.0000
3.9981,0,0,0.0000
4.9981,0,0,0.0000
5.9981,0,0,0.0000
6.9981,0,0,0.0000
7.9981,0,0,0.0000
8.9981,0,0,0.0000
9.9981,0,0,0.0000
10.9981,0,0,0.0000
11.9981,0,0,0.0000
12.9981,0,0,0.0000
13.9981,0,0,0.0000
14.9981,0,0,0.0000
15.9981,0,0,0.0000
16.9981,0,0,0.0000
17.9981,0,0,0.0000
18.9981,0,0,0.0000
19.9981,0,0,0.0000
20.9981,0,0,0.0000
21.9981,0,0,0.0000
22.9981,0,0,0.0000
1.9981,0,0,0.0000
2.9981,44,44,0.0000
3.9981,162,162,0.0000
4.9981,300,300,0.0000
