sim_time_s,global_tp,global_tn,global_fp,global_fn,accuracy,fpr,mcc,f1_v1,f1_v2,f1_v3,pdr,avg_latency_ms,tm_rate_per_s,tm_delta_pct,broadcast_amplification_gamma,alert_depth_max,eps_topo,flowmod_excess_rate,avg_mitigation_latency_ms,cpu_pct,mem_mb
3.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,70.0000,1300.0000,2.0000,2,0.0000,0.0000,0.0000,516.2478,141.4531
4.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,110.0000,2100.0000,2.0000,2,0.0000,0.0000,0.0000,519.3994,141.4570
5.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,150.0000,2900.0000,2.0000,2,0.0000,0.0000,0.0000,516.9988,141.4570
6.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,190.0000,3700.0000,2.0000,2,0.0000,0.0000,0.0000,516.7132,141.4727
7.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,230.0000,4500.0000,2.0000,2,0.0000,0.0000,0.0000,513.9984,141.4727
8.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,270.0000,5300.0000,2.0000,2,0.0000,0.0000,0.0000,511.9981,141.4727
9.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,310.0000,6100.0000,2.0000,2,0.0000,0.0000,0.0000,512.0983,141.4727
10.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,320.0000,6300.0000,2.0000,2,0.0000,0.0000,0.0000,511.9985,141.4727
11.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,320.0000,6300.0000,2.0000,2,0.0000,0.0000,0.0000,513.9989,141.4727
12.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,320.0000,6300.0000,2.0000,2,0.0000,0.0000,0.0000,514.8453,141.4727
13.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,320.0000,6300.0000,2.0000,2,0.0000,0.0000,0.0000,515.2850,141.4727
1.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-100.0000,1.0000,0,0.0000,0.0000,0.0000,516.4958,141.3203
2.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.0000,500.0000,2.0000,2,0.0000,0.0000,0.0000,508.9924,141.4922
3.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.0000,1380.0000,2.0000,2,0.0000,0.0000,0.0000,507.4936,141.4922
4.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,505.3941,141.4922
5.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,509.8298,141.4922
6.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,516.8561,141.5078
7.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,515.4987,141.5078
8.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,515.4433,141.5078
9.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,513.7986,141.5078
10.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,513.5442,141.5078
11.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,511.9986,141.5078
12.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,513.9990,141.5078
13.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,513.0704,141.5078
14.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,511.4655,141.5078
15.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,509.9987,141.5078
16.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,509.4105,141.5078
17.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,508.2764,141.5078
18.9981,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.0000,1580.0000,2.0000,2,0.0000,0.0000,0.0000,507.7882,141.5078
