sim_time_s,cpu_percent,mem_mb
2.00,516.00,141.32
3.00,522.33,141.50
4.00,517.50,141.50
5.00,515.80,141.51
6.00,512.16,141.51
7.00,509.57,141.51
8.00,510.87,141.51
9.00,513.00,141.51
10.00,516.40,141.51
11.00,515.73,141.51
12.00,516.83,141.51
13.00,515.85,141.51
14.00,515.14,141.51
15.00,513.40,141.51
16.00,512.00,141.51
17.00,514.12,141.51
18.00,513.33,141.51
19.00,512.00,141.51
20.00,510.80,141.51
21.00,510.67,141.51
22.00,510.09,141.51
23.00,509.43,141.51
24.00,511.33,141.51
2.00,523.50,141.34
3.00,513.66,141.52
4.00,527.75,141.52
5.00,525.80,141.53
6.00,521.17,141.53
7.00,517.43,141.54
8.00,516.75,141.54
9.00,514.44,141.54
10.00,514.10,141.54
11.00,519.00,141.54
12.00,517.25,141.54
13.00,518.77,141.54
14.00,517.57,141.54
15.00,516.20,141.54
16.00,514.87,141.54
17.00,513.47,141.54
18.00,515.11,141.54
19.00,514.00,141.54
20.00,512.70,141.54
21.00,512.14,141.54
22.00,511.18,141.54
23.00,510.78,141.54
24.00,511.21,141.54
25.00,511.72,141.54
26.00,510.88,141.54
27.00,510.59,141.54
28.00,510.28,141.54
29.00,509.52,141.54
30.00,508.87,141.54
31.00,509.90,141.54
32.00,509.69,141.54
33.00,509.30,141.54
34.00,509.85,141.54
35.00,509.23,141.54
36.00,508.64,141.54
37.00,508.51,141.54
38.00,509.45,141.54
39.00,508.95,141.54
40.00,508.85,141.54
41.00,508.78,141.54
42.00,508.64,141.54
43.00,508.19,141.54
44.00,508.54,141.54
45.00,509.31,141.54
46.00,509.04,141.54
2.00,507.99,141.23
3.00,510.33,141.41
4.00,509.99,141.41
5.00,509.80,141.42
6.00,508.66,141.42
7.00,513.57,141.43
8.00,511.37,141.43
9.00,509.44,141.43
10.00,509.20,141.43
11.00,512.54,141.43
12.00,511.25,141.43
13.00,512.84,141.43
14.00,511.57,141.43
15.00,509.73,141.43
16.00,508.81,141.43
17.00,509.00,141.43
18.00,510.17,141.43
19.00,509.26,141.43
20.00,510.50,141.43
21.00,509.57,141.43
22.00,508.59,141.43
23.00,509.00,141.43
24.00,508.58,141.43
25.00,510.40,141.43
26.00,510.77,141.43
27.00,509.96,141.43
28.00,509.11,141.43
29.00,508.34,141.43
30.00,509.23,141.43
31.00,509.45,141.43
32.00,509.16,141.43
33.00,509.27,141.43
34.00,508.94,141.43
35.00,508.37,141.43
36.00,508.17,141.43
37.00,507.67,141.43
2.00,528.51,141.35
3.00,516.00,141.52
4.00,510.24,141.52
5.00,511.80,141.52
6.00,509.16,141.53
7.00,511.00,141.54
8.00,511.87,141.54
9.00,514.22,141.54
10.00,512.30,141.54
11.00,511.73,141.54
12.00,510.58,141.54
