# Anyanwu [16] RBF-SVM evaluated on V1 attacks
# Volume-based: detects V1 partially, blind to V2/V3
method,scenario,key_type,atk_count,atk_pct,cycle,row_type,time_s,TP,TN,FP,FN,Accuracy,MCC,F1,Precision,Recall,DetRate_pct,PDR_pct,ch_load_pct
Anyanwu_16,v1b,STOLEN_KEY,40,48.19,3,CUMULATIVE,20.0,1692,1383,248,11457,0.208051,-0.021689,0.224269,0.872165,0.128679,10.77,28.66,89.17
Anyanwu_16,v1b,STOLEN_KEY,40,48.19,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1b,STOLEN_KEY,40,48.19,4,CUMULATIVE,20.0,1692,1383,248,11457,0.208051,-0.021689,0.224269,0.872165,0.128679,10.77,28.66,89.17
Anyanwu_16,v1b,STOLEN_KEY,40,48.19,5,CYCLE,30.0,879,876,121,7124,0.195000,-0.011515,0.195268,0.879000,0.109834,10.95,27.11,91.11
Anyanwu_16,v1b,STOLEN_KEY,40,48.19,5,CUMULATIVE,30.0,2571,2259,369,18581,0.203112,-0.017966,0.213432,0.874490,0.121549,10.84,28.07,89.91
Anyanwu_16,v1b,STOLEN_KEY,40,48.19,6,CYCLE,30.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1b,STOLEN_KEY,40,48.19,6,CUMULATIVE,30.0,2571,2259,369,18581,0.203112,-0.017966,0.213432,0.874490,0.121549,10.84,28.07,89.91
Anyanwu_16,v1b,STOLEN_KEY,40,48.19,7,CYCLE,40.0,862,873,138,7127,0.192778,-0.028737,0.191790,0.862000,0.107898,10.91,27.11,91.11
Anyanwu_16,v1b,STOLEN_KEY,40,48.19,7,CUMULATIVE,40.0,3433,3132,507,25708,0.200275,-0.020787,0.207551,0.871320,0.117807,10.86,27.81,90.24
Anyanwu_16,v1b,STOLEN_KEY,40,48.19,8,CYCLE,40.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1b,STOLEN_KEY,40,48.19,8,CUMULATIVE,40.0,3433,3132,507,25708,0.200275,-0.020787,0.207551,0.871320,0.117807,10.86,27.81,90.24
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,1,CYCLE,10.0,760,319,180,5741,0.154143,-0.183994,0.204274,0.808511,0.116905,5.26,29.14,88.57
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,1,CUMULATIVE,10.0,760,319,180,5741,0.154143,-0.183994,0.204274,0.808511,0.116905,5.26,29.14,88.57
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,2,CUMULATIVE,10.0,760,319,180,5741,0.154143,-0.183994,0.204274,0.808511,0.116905,5.26,29.14,88.57
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,3,CYCLE,20.0,816,583,184,11417,0.107615,-0.153144,0.123328,0.816000,0.066705,4.86,24.92,93.85
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,3,CUMULATIVE,20.0,1576,902,364,17158,0.123900,-0.167345,0.152462,0.812371,0.084125,4.99,26.40,92.00
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,4,CUMULATIVE,20.0,1576,902,364,17158,0.123900,-0.167345,0.152462,0.812371,0.084125,4.99,26.40,92.00
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,5,CYCLE,30.0,803,601,197,11399,0.108000,-0.163097,0.121648,0.803000,0.065809,5.01,24.92,93.85
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,5,CUMULATIVE,30.0,2379,1503,561,28557,0.117636,-0.165666,0.140453,0.809184,0.076901,5.00,25.82,92.73
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,6,CYCLE,30.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,6,CUMULATIVE,30.0,2379,1503,561,28557,0.117636,-0.165666,0.140453,0.809184,0.076901,5.00,25.82,92.73
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,7,CYCLE,40.0,816,619,184,11381,0.110385,-0.146571,0.123664,0.816000,0.066902,5.16,24.92,93.85
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,7,CUMULATIVE,40.0,3195,2122,745,39938,0.115587,-0.160485,0.135747,0.810914,0.074073,5.05,25.57,93.04
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,8,CYCLE,40.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,8,CUMULATIVE,40.0,3195,2122,745,39938,0.115587,-0.160485,0.135747,0.810914,0.074073,5.05,25.57,93.04
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,9,CYCLE,50.0,811,585,189,11415,0.107385,-0.157936,0.122637,0.811000,0.066334,4.88,24.92,93.85
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,9,CUMULATIVE,50.0,4006,2707,934,51353,0.113780,-0.159991,0.132871,0.810931,0.072364,5.01,25.42,93.22
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,10,CYCLE,50.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1b,STOLEN_KEY,60,72.29,10,CUMULATIVE,50.0,4006,2707,934,51353,0.113780,-0.159991,0.132871,0.810931,0.072364,5.01,25.42,93.22
