scenario,atk_count,cycle,time_s,t_mem,rho_novelty_override,atk_events,novel_events,rho_novelty
v1a,90,15,29.500000,5.000000,-1.000000,990,0,0.000000
v1a,120,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1a,120,2,4.000000,5.000000,-1.000000,2400,120,0.050000
v1a,120,3,6.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,4,8.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,5,10.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,6,12.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,7,14.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,8,16.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,9,18.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,10,20.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,11,22.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,12,24.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,13,26.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,14,28.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,15,29.500000,5.000000,-1.000000,1320,0,0.000000
v1a,150,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1a,150,2,4.000000,5.000000,-1.000000,3000,150,0.050000
v1a,150,3,6.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,4,8.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,5,10.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,6,12.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,7,14.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,8,16.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,9,18.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,10,20.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,11,22.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,12,24.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,13,26.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,14,28.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,15,29.500000,5.000000,-1.000000,1650,0,0.000000
v1a,180,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1a,180,2,4.000000,5.000000,-1.000000,3600,180,0.050000
v1a,180,3,6.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,4,8.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,5,10.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,6,12.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,7,14.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,8,16.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,9,18.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,10,20.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,11,22.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,12,24.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,13,26.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,14,28.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,15,29.500000,5.000000,-1.000000,1980,0,0.000000
v1b,30,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1b,30,2,4.000000,5.000000,-1.000000,610,31,0.050820
v1b,30,3,6.000000,5.000000,-1.000000,620,0,0.000000
v1b,30,4,8.000000,5.000000,-1.000000,620,0,0.000000
v1b,30,5,10.000000,5.000000,-1.000000,620,0,0.000000
v1b,30,6,12.000000,5.000000,-1.000000,620,0,0.000000
v1b,30,7,14.000000,5.000000,-1.000000,620,0,0.000000
v1b,30,8,16.000000,5.000000,-1.000000,620,0,0.000000
v1b,30,9,18.000000,5.000000,-1.000000,620,0,0.000000
v1b,30,10,20.000000,5.000000,-1.000000,620,0,0.000000
v1b,30,11,22.000000,5.000000,-1.000000,620,0,0.000000
v1b,30,12,24.000000,5.000000,-1.000000,620,0,0.000000
v1b,30,13,26.000000,5.000000,-1.000000,620,0,0.000000
v1b,30,14,28.000000,5.000000,-1.000000,620,0,0.000000
v1b,30,15,29.500000,5.000000,-1.000000,341,0,0.000000
v1b,60,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1b,60,2,4.000000,5.000000,-1.000000,1210,61,0.050413
v1b,60,3,6.000000,5.000000,-1.000000,1220,0,0.000000
v1b,60,4,8.000000,5.000000,-1.000000,1220,0,0.000000
v1b,60,5,10.000000,5.000000,-1.000000,1220,0,0.000000
v1b,60,6,12.000000,5.000000,-1.000000,1220,0,0.000000
v1b,60,7,14.000000,5.000000,-1.000000,1220,0,0.000000
v1b,60,8,16.000000,5.000000,-1.000000,1220,0,0.000000
v1b,60,9,18.000000,5.000000,-1.000000,1220,0,0.000000
v1b,60,10,20.000000,5.000000,-1.000000,1220,0,0.000000
v1b,60,11,22.000000,5.000000,-1.000000,1220,0,0.000000
v1b,60,12,24.000000,5.000000,-1.000000,1220,0,0.000000
v1b,60,13,26.000000,5.000000,-1.000000,1220,0,0.000000
v1b,60,14,28.000000,5.000000,-1.000000,1220,0,0.000000
v1b,60,15,29.500000,5.000000,-1.000000,671,0,0.000000
v1b,90,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1b,90,2,4.000000,5.000000,-1.000000,1810,91,0.050276
v1b,90,3,6.000000,5.000000,-1.000000,1820,0,0.000000
v1b,90,4,8.000000,5.000000,-1.000000,1820,0,0.000000
v1b,90,5,10.000000,5.000000,-1.000000,1820,0,0.000000
v1b,90,6,12.000000,5.000000,-1.000000,1820,0,0.000000
v1b,90,7,14.000000,5.000000,-1.000000,1820,0,0.000000
v1b,90,8,16.000000,5.000000,-1.000000,1820,0,0.000000
v1b,90,9,18.000000,5.000000,-1.000000,1820,0,0.000000
v1b,90,10,20.000000,5.000000,-1.000000,1820,0,0.000000
v1b,90,11,22.000000,5.000000,-1.000000,1820,0,0.000000
v1b,90,12,24.000000,5.000000,-1.000000,1820,0,0.000000
v1b,90,13,26.000000,5.000000,-1.000000,1820,0,0.000000
v1b,90,14,28.000000,5.000000,-1.000000,1820,0,0.000000
v1b,90,15,29.500000,5.000000,-1.000000,1001,0,0.000000
v1b,120,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1b,120,2,4.000000,5.000000,-1.000000,2410,121,0.050207
v1b,120,3,6.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,4,8.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,5,10.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,6,12.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,7,14.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,8,16.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,9,18.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,10,20.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,11,22.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,12,24.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,13,26.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,14,28.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,15,29.500000,5.000000,-1.000000,1331,0,0.000000
v1b,150,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1b,150,2,4.000000,5.000000,-1.000000,3010,151,0.050166
v1b,150,3,6.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,4,8.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,5,10.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,6,12.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,7,14.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,8,16.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,9,18.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,10,20.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,11,22.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,12,24.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,13,26.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,14,28.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,15,29.500000,5.000000,-1.000000,1661,0,0.000000
v1b,180,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1b,180,2,4.000000,5.000000,-1.000000,3610,181,0.050139
v1b,180,3,6.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,4,8.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,5,10.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,6,12.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,7,14.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,8,16.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,9,18.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,10,20.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,11,22.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,12,24.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,13,26.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,14,28.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,15,29.500000,5.000000,-1.000000,1991,0,0.000000
v2a,30,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2a,30,2,4.000000,5.000000,-1.000000,86,30,0.348837
v2a,30,3,6.000000,5.000000,-1.000000,86,0,0.000000
v2a,30,4,8.000000,5.000000,-1.000000,86,0,0.000000
v2a,30,5,10.000000,5.000000,-1.000000,85,0,0.000000
v2a,30,6,12.000000,5.000000,-1.000000,0,0,0.000000
v2a,30,7,14.000000,5.000000,-1.000000,86,0,0.000000
v2a,30,8,16.000000,5.000000,-1.000000,86,0,0.000000
v2a,30,9,18.000000,5.000000,-1.000000,85,0,0.000000
v2a,30,10,20.000000,5.000000,-1.000000,86,0,0.000000
v2a,30,11,22.000000,5.000000,-1.000000,0,0,0.000000
v2a,30,12,24.000000,5.000000,-1.000000,86,0,0.000000
v2a,30,13,26.000000,5.000000,-1.000000,86,0,0.000000
v2a,30,14,28.000000,5.000000,-1.000000,85,0,0.000000
v2a,30,15,29.500000,5.000000,-1.000000,0,0,0.000000
v2a,60,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2a,60,2,4.000000,5.000000,-1.000000,172,60,0.348837
v2a,60,3,6.000000,5.000000,-1.000000,171,0,0.000000
v2a,60,4,8.000000,5.000000,-1.000000,172,0,0.000000
v2a,60,5,10.000000,5.000000,-1.000000,171,0,0.000000
v2a,60,6,12.000000,5.000000,-1.000000,0,0,0.000000
v2a,60,7,14.000000,5.000000,-1.000000,172,0,0.000000
v2a,60,8,16.000000,5.000000,-1.000000,171,0,0.000000
v2a,60,9,18.000000,5.000000,-1.000000,171,0,0.000000
v2a,60,10,20.000000,5.000000,-1.000000,172,0,0.000000
v2a,60,11,22.000000,5.000000,-1.000000,0,0,0.000000
v2a,60,12,24.000000,5.000000,-1.000000,171,0,0.000000
v2a,60,13,26.000000,5.000000,-1.000000,172,0,0.000000
v2a,60,14,28.000000,5.000000,-1.000000,171,0,0.000000
v2a,60,15,29.500000,5.000000,-1.000000,0,0,0.000000
v2a,90,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2a,90,2,4.000000,5.000000,-1.000000,258,90,0.348837
v2a,90,3,6.000000,5.000000,-1.000000,257,0,0.000000
v2a,90,4,8.000000,5.000000,-1.000000,257,0,0.000000
v2a,90,5,10.000000,5.000000,-1.000000,257,0,0.000000
v2a,90,6,12.000000,5.000000,-1.000000,0,0,0.000000
v2a,90,7,14.000000,5.000000,-1.000000,257,0,0.000000
v2a,90,8,16.000000,5.000000,-1.000000,257,0,0.000000
v2a,90,9,18.000000,5.000000,-1.000000,257,0,0.000000
v2a,90,10,20.000000,5.000000,-1.000000,258,0,0.000000
v2a,90,11,22.000000,5.000000,-1.000000,0,0,0.000000
v2a,90,12,24.000000,5.000000,-1.000000,257,0,0.000000
v2a,90,13,26.000000,5.000000,-1.000000,257,0,0.000000
v2a,90,14,28.000000,5.000000,-1.000000,257,0,0.000000
v2a,90,15,29.500000,5.000000,-1.000000,0,0,0.000000
v2a,120,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2a,120,2,4.000000,5.000000,-1.000000,343,120,0.349854
v2a,120,3,6.000000,5.000000,-1.000000,343,0,0.000000
v2a,120,4,8.000000,5.000000,-1.000000,343,0,0.000000
v2a,120,5,10.000000,5.000000,-1.000000,343,0,0.000000
v2a,120,6,12.000000,5.000000,-1.000000,0,0,0.000000
v2a,120,7,14.000000,5.000000,-1.000000,343,0,0.000000
v2a,120,8,16.000000,5.000000,-1.000000,343,0,0.000000
v2a,120,9,18.000000,5.000000,-1.000000,342,0,0.000000
v2a,120,10,20.000000,5.000000,-1.000000,343,0,0.000000
v2a,120,11,22.000000,5.000000,-1.000000,0,0,0.000000
v2a,120,12,24.000000,5.000000,-1.000000,343,0,0.000000
v2a,120,13,26.000000,5.000000,-1.000000,343,0,0.000000
v2a,120,14,28.000000,5.000000,-1.000000,343,0,0.000000
v2a,120,15,29.500000,5.000000,-1.000000,0,0,0.000000
v2a,150,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2a,150,2,4.000000,5.000000,-1.000000,429,150,0.349650
v2a,150,3,6.000000,5.000000,-1.000000,429,0,0.000000
v2a,150,4,8.000000,5.000000,-1.000000,428,0,0.000000
v2a,150,5,10.000000,5.000000,-1.000000,429,0,0.000000
v2a,150,6,12.000000,5.000000,-1.000000,0,0,0.000000
v2a,150,7,14.000000,5.000000,-1.000000,428,0,0.000000
v2a,150,8,16.000000,5.000000,-1.000000,429,0,0.000000
v2a,150,9,18.000000,5.000000,-1.000000,428,0,0.000000
v2a,150,10,20.000000,5.000000,-1.000000,429,0,0.000000
v2a,150,11,22.000000,5.000000,-1.000000,0,0,0.000000
v2a,150,12,24.000000,5.000000,-1.000000,429,0,0.000000
v2a,150,13,26.000000,5.000000,-1.000000,428,0,0.000000
v2a,150,14,28.000000,5.000000,-1.000000,429,0,0.000000
v2a,150,15,29.500000,5.000000,-1.000000,0,0,0.000000
v2a,180,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2a,180,2,4.000000,5.000000,-1.000000,515,180,0.349515
v2a,180,3,6.000000,5.000000,-1.000000,514,0,0.000000
v2a,180,4,8.000000,5.000000,-1.000000,514,0,0.000000
v2a,180,5,10.000000,5.000000,-1.000000,515,0,0.000000
v2a,180,6,12.000000,5.000000,-1.000000,0,0,0.000000
v2a,180,7,14.000000,5.000000,-1.000000,514,0,0.000000
v2a,180,8,16.000000,5.000000,-1.000000,514,0,0.000000
v2a,180,9,18.000000,5.000000,-1.000000,514,0,0.000000
v2a,180,10,20.000000,5.000000,-1.000000,515,0,0.000000
v2a,180,11,22.000000,5.000000,-1.000000,0,0,0.000000
v2a,180,12,24.000000,5.000000,-1.000000,514,0,0.000000
v2a,180,13,26.000000,5.000000,-1.000000,514,0,0.000000
v2a,180,14,28.000000,5.000000,-1.000000,515,0,0.000000
v2a,180,15,29.500000,5.000000,-1.000000,0,0,0.000000
v2b,30,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2b,30,2,4.000000,5.000000,-1.000000,89,31,0.348315
v2b,30,3,6.000000,5.000000,-1.000000,89,0,0.000000
v2b,30,4,8.000000,5.000000,-1.000000,85,0,0.000000
v2b,30,5,10.000000,5.000000,-1.000000,89,0,0.000000
v2b,30,6,12.000000,5.000000,-1.000000,3,0,0.000000
v2b,30,7,14.000000,5.000000,-1.000000,88,0,0.000000
v2b,30,8,16.000000,5.000000,-1.000000,89,0,0.000000
v2b,30,9,18.000000,5.000000,-1.000000,86,0,0.000000
v2b,30,10,20.000000,5.000000,-1.000000,88,0,0.000000
v2b,30,11,22.000000,5.000000,-1.000000,3,0,0.000000
v2b,30,12,24.000000,5.000000,-1.000000,89,0,0.000000
v2b,30,13,26.000000,5.000000,-1.000000,88,0,0.000000
v2b,30,14,28.000000,5.000000,-1.000000,86,0,0.000000
v2b,30,15,29.500000,5.000000,-1.000000,3,0,0.000000
v2b,60,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2b,60,2,4.000000,5.000000,-1.000000,175,61,0.348571
v2b,60,3,6.000000,5.000000,-1.000000,174,0,0.000000
v2b,60,4,8.000000,5.000000,-1.000000,171,0,0.000000
v2b,60,5,10.000000,5.000000,-1.000000,175,0,0.000000
v2b,60,6,12.000000,5.000000,-1.000000,3,0,0.000000
v2b,60,7,14.000000,5.000000,-1.000000,174,0,0.000000
v2b,60,8,16.000000,5.000000,-1.000000,174,0,0.000000
v2b,60,9,18.000000,5.000000,-1.000000,172,0,0.000000
v2b,60,10,20.000000,5.000000,-1.000000,174,0,0.000000
v2b,60,11,22.000000,5.000000,-1.000000,3,0,0.000000
v2b,60,12,24.000000,5.000000,-1.000000,174,0,0.000000
v2b,60,13,26.000000,5.000000,-1.000000,174,0,0.000000
v2b,60,14,28.000000,5.000000,-1.000000,172,0,0.000000
v2b,60,15,29.500000,5.000000,-1.000000,3,0,0.000000
v2b,90,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2b,90,2,4.000000,5.000000,-1.000000,260,91,0.350000
v2b,90,3,6.000000,5.000000,-1.000000,260,0,0.000000
v2b,90,4,8.000000,5.000000,-1.000000,258,0,0.000000
v2b,90,5,10.000000,5.000000,-1.000000,260,0,0.000000
v2b,90,6,12.000000,5.000000,-1.000000,2,0,0.000000
v2b,90,7,14.000000,5.000000,-1.000000,260,0,0.000000
v2b,90,8,16.000000,5.000000,-1.000000,260,0,0.000000
v2b,90,9,18.000000,5.000000,-1.000000,258,0,0.000000
v2b,90,10,20.000000,5.000000,-1.000000,260,0,0.000000
v2b,90,11,22.000000,5.000000,-1.000000,2,0,0.000000
v2b,90,12,24.000000,5.000000,-1.000000,260,0,0.000000
v2b,90,13,26.000000,5.000000,-1.000000,260,0,0.000000
v2b,90,14,28.000000,5.000000,-1.000000,258,0,0.000000
v2b,90,15,29.500000,5.000000,-1.000000,2,0,0.000000
v2b,120,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2b,120,2,4.000000,5.000000,-1.000000,346,121,0.349711
v2b,120,3,6.000000,5.000000,-1.000000,346,0,0.000000
v2b,120,4,8.000000,5.000000,-1.000000,343,0,0.000000
v2b,120,5,10.000000,5.000000,-1.000000,345,0,0.000000
v2b,120,6,12.000000,5.000000,-1.000000,3,0,0.000000
v2b,120,7,14.000000,5.000000,-1.000000,346,0,0.000000
v2b,120,8,16.000000,5.000000,-1.000000,346,0,0.000000
