sim_time_s,flowmod_cumulative,flowmod_attack_cumulative,excess_rate_per_s
5.9981,3350,0,0.0000
6.9981,3350,0,0.0000
7.9981,5011,0,0.0000
8.9981,5011,0,0.0000
9.9981,6590,0,0.0000
10.9981,6590,0,0.0000
11.9981,6590,0,0.0000
12.9981,8178,0,0.0000
13.9981,8178,0,0.0000
14.9981,9753,0,0.0000
15.9981,9753,0,0.0000
16.9981,9753,0,0.0000
17.9981,11355,0,0.0000
18.9981,11355,0,0.0000
19.9981,13020,0,0.0000
20.9981,13020,0,0.0000
21.9981,13020,0,0.0000
22.9981,14549,0,0.0000
23.9981,14549,0,0.0000
24.9981,16127,0,0.0000
25.9981,16127,0,0.0000
26.9981,16127,0,0.0000
27.9981,17660,0,0.0000
28.9981,17660,0,0.0000
1.9981,0,0,0.0000
2.9981,2594,0,0.0000
3.9981,2594,0,0.0000
4.9981,5044,0,0.0000
5.9981,5044,0,0.0000
6.9981,5044,0,0.0000
7.9981,7419,0,0.0000
8.9981,7419,0,0.0000
9.9981,9848,0,0.0000
10.9981,9848,0,0.0000
11.9981,9848,0,0.0000
12.9981,12173,0,0.0000
13.9981,12173,0,0.0000
14.9981,14576,0,0.0000
15.9981,14576,0,0.0000
16.9981,14576,0,0.0000
17.9981,16940,0,0.0000
18.9981,16940,0,0.0000
19.9981,19412,0,0.0000
20.9981,19412,0,0.0000
21.9981,19412,0,0.0000
22.9981,21708,0,0.0000
23.9981,21708,0,0.0000
24.9981,23997,0,0.0000
25.9981,23997,0,0.0000
26.9981,23997,0,0.0000
27.9981,26345,0,0.0000
28.9981,26345,0,0.0000
1.9981,0,0,0.0000
2.9981,3386,0,0.0000
3.9981,3386,0,0.0000
4.9981,6643,0,0.0000
5.9981,6643,0,0.0000
6.9981,6643,0,0.0000
7.9981,9972,0,0.0000
8.9981,9972,0,0.0000
9.9981,13177,0,0.0000
10.9981,13177,0,0.0000
11.9981,13177,0,0.0000
12.9981,16315,0,0.0000
13.9981,16315,0,0.0000
14.9981,19443,0,0.0000
15.9981,19443,0,0.0000
16.9981,19443,0,0.0000
17.9981,22525,0,0.0000
18.9981,22525,0,0.0000
19.9981,25716,0,0.0000
20.9981,25716,0,0.0000
21.9981,25716,0,0.0000
22.9981,28784,0,0.0000
23.9981,28784,0,0.0000
24.9981,31914,0,0.0000
25.9981,31914,0,0.0000
26.9981,31914,0,0.0000
27.9981,34991,0,0.0000
28.9981,34991,0,0.0000
1.9981,0,0,0.0000
2.9981,3947,0,0.0000
3.9981,3947,0,0.0000
4.9981,7811,0,0.0000
5.9981,7811,0,0.0000
6.9981,7811,0,0.0000
7.9981,11627,0,0.0000
8.9981,11627,0,0.0000
9.9981,15497,0,0.0000
10.9981,15497,0,0.0000
11.9981,15497,0,0.0000
12.9981,19091,0,0.0000
13.9981,19091,0,0.0000
14.9981,22780,0,0.0000
15.9981,22780,0,0.0000
16.9981,22780,0,0.0000
17.9981,26536,0,0.0000
18.9981,26536,0,0.0000
19.9981,30291,0,0.0000
20.9981,30291,0,0.0000
21.9981,30291,0,0.0000
22.9981,33990,0,0.0000
23.9981,33990,0,0.0000
24.9981,37519,0,0.0000
25.9981,37519,0,0.0000
26.9981,37519,0,0.0000
27.9981,41185,0,0.0000
28.9981,41185,0,0.0000
1.9981,0,0,0.0000
2.9981,4606,0,0.0000
3.9981,4606,0,0.0000
4.9981,9078,0,0.0000
