variant,mu,gamma,val_MCC
V1,0.15,0.11,0.6642
V1,0.15,0.12,0.6642
V1,0.15,0.13,0.6642
V1,0.15,0.14,0.6642
V1,0.15,0.15,0.6642
V1,0.15,0.16,0.6642
V1,0.15,0.17,0.6642
V1,0.15,0.18,0.6642
V1,0.15,0.19,0.6642
V1,0.15,0.2,0.6642
V1,0.15,0.21,0.6642
V1,0.15,0.22,0.6642
V1,0.15,0.23,0.6642
V1,0.15,0.24,0.6642
V1,0.15,0.25,0.6642
V1,0.15,0.26,0.6642
V1,0.15,0.27,0.6642
V1,0.15,0.28,0.6642
V1,0.15,0.29,0.6642
V1,0.15,0.3,0.6642
V1,0.15,0.31,0.6642
V1,0.15,0.32,0.6642
V1,0.15,0.33,0.6642
V1,0.15,0.34,0.6642
V1,0.15,0.35,0.6642
V1,0.15,0.36,0.6642
V1,0.15,0.37,0.6642
V1,0.15,0.38,0.6642
V1,0.15,0.39,0.6642
V1,0.15,0.4,0.6642
V1,0.15,0.41,0.6642
V1,0.15,0.42,0.6642
V1,0.15,0.43,0.6642
V1,0.15,0.44,0.6642
V1,0.15,0.45,0.6642
V1,0.15,0.46,0.6642
V1,0.15,0.47,0.6642
V1,0.15,0.48,0.6642
V1,0.15,0.49,0.6642
V1,0.15,0.5,0.6642
V1,0.15,0.51,0.6642
V1,0.15,0.52,0.6642
V1,0.15,0.53,0.6642
V1,0.15,0.54,0.6642
V1,0.15,0.55,0.6642
V1,0.15,0.56,0.6642
V1,0.15,0.57,0.6642
V1,0.15,0.58,0.6642
V1,0.15,0.59,0.6642
V1,0.15,0.6,0.6642
V1,0.15,0.61,0.6642
V1,0.15,0.62,0.6642
V1,0.15,0.63,0.6642
V1,0.15,0.64,0.6642
V1,0.15,0.65,0.6642
V1,0.15,0.66,0.6642
V1,0.15,0.67,0.6642
V1,0.15,0.68,0.6805
V1,0.15,0.69,0.6849
V1,0.15,0.7,0.687
V1,0.15,0.71,0.6895
V1,0.15,0.72,0.6903
V1,0.15,0.73,0.6912
V1,0.15,0.74,0.6983
V1,0.15,0.75,0.7022
V1,0.15,0.76,0.7033
V1,0.15,0.77,0.7067
V1,0.15,0.78,0.7094
V1,0.15,0.79,0.7152
V1,0.15,0.8,0.7161
V1,0.15,0.81,0.7137
V1,0.15,0.82,0.7152
V1,0.15,0.83,0.685
V1,0.15,0.84,0.6267
V1,0.15,0.85,0.5096
V1,0.15,0.86,0.3436
V1,0.15,0.87,0.2258
V1,0.15,0.88,0.0322
V1,0.15,0.89,0.0
V1,0.15,0.9,0.0
V1,0.15,0.91,0.0
V1,0.15,0.92,0.0
V1,0.15,0.93,0.0
V1,0.15,0.94,0.0
V1,0.15,0.95,0.0
V1,0.2,0.05,0.6274
V1,0.2,0.06,0.6274
V1,0.2,0.07,0.6642
V1,0.2,0.08,0.6642
V1,0.2,0.09,0.6642
V1,0.2,0.1,0.6642
V1,0.2,0.11,0.6642
V1,0.2,0.12,0.6642
V1,0.2,0.13,0.6642
V1,0.2,0.14,0.6642
V1,0.2,0.15,0.6642
V1,0.2,0.16,0.6642
V1,0.2,0.17,0.6642
V1,0.2,0.18,0.6642
V1,0.2,0.19,0.6642
V1,0.2,0.2,0.6642
V1,0.2,0.21,0.6642
V1,0.2,0.22,0.6642
V1,0.2,0.23,0.6642
V1,0.2,0.24,0.6642
V1,0.2,0.25,0.6642
V1,0.2,0.26,0.6642
V1,0.2,0.27,0.6642
V1,0.2,0.28,0.6642
V1,0.2,0.29,0.6642
V1,0.2,0.3,0.6642
V1,0.2,0.31,0.6642
V1,0.2,0.32,0.6642
V1,0.2,0.33,0.6642
V1,0.2,0.34,0.6642
V1,0.2,0.35,0.6642
V1,0.2,0.36,0.6642
V1,0.2,0.37,0.6642
V1,0.2,0.38,0.6642
V1,0.2,0.39,0.6642
V1,0.2,0.4,0.6642
V1,0.2,0.41,0.6642
V1,0.2,0.42,0.6642
V1,0.2,0.43,0.6642
V1,0.2,0.44,0.6642
V1,0.2,0.45,0.6642
V1,0.2,0.46,0.6642
V1,0.2,0.47,0.6642
V1,0.2,0.48,0.6642
V1,0.2,0.49,0.6642
V1,0.2,0.5,0.6642
V1,0.2,0.51,0.6642
V1,0.2,0.52,0.6642
V1,0.2,0.53,0.6642
V1,0.2,0.54,0.6642
V1,0.2,0.55,0.6642
V1,0.2,0.56,0.6642
V1,0.2,0.57,0.6642
V1,0.2,0.58,0.6642
V1,0.2,0.59,0.6642
V1,0.2,0.6,0.6642
V1,0.2,0.61,0.6642
V1,0.2,0.62,0.6642
V1,0.2,0.63,0.6642
V1,0.2,0.64,0.6797
V1,0.2,0.65,0.6837
V1,0.2,0.66,0.6862
V1,0.2,0.67,0.6874
V1,0.2,0.68,0.6887
V1,0.2,0.69,0.6903
V1,0.2,0.7,0.6971
V1,0.2,0.71,0.6992
V1,0.2,0.72,0.7018
V1,0.2,0.73,0.703
V1,0.2,0.74,0.7061
V1,0.2,0.75,0.7076
V1,0.2,0.76,0.7094
V1,0.2,0.77,0.7116
V1,0.2,0.78,0.7101
V1,0.2,0.79,0.7075
V1,0.2,0.8,0.7057
V1,0.2,0.81,0.6971
V1,0.2,0.82,0.6734
V1,0.2,0.83,0.6452
V1,0.2,0.84,0.5483
V1,0.2,0.85,0.4546
V1,0.2,0.86,0.3005
V1,0.2,0.87,0.2278
V1,0.2,0.88,0.1276
V1,0.2,0.89,-0.0028
V1,0.2,0.9,0.0
V1,0.2,0.91,0.0
V1,0.2,0.92,0.0
V1,0.2,0.93,0.0
V1,0.2,0.94,0.0
V1,0.2,0.95,0.0
V1,0.25,0.05,0.6274
V1,0.25,0.06,0.6642
V1,0.25,0.07,0.6642
V1,0.25,0.08,0.6642
V1,0.25,0.09,0.6642
V1,0.25,0.1,0.6642
V1,0.25,0.11,0.6642
V1,0.25,0.12,0.6642
V1,0.25,0.13,0.6642
V1,0.25,0.14,0.6642
V1,0.25,0.15,0.6642
V1,0.25,0.16,0.6642
V1,0.25,0.17,0.6642
V1,0.25,0.18,0.6642
V1,0.25,0.19,0.6642
V1,0.25,0.2,0.6642
V1,0.25,0.21,0.6642
V1,0.25,0.22,0.6642
V1,0.25,0.23,0.6642
V1,0.25,0.24,0.6642
V1,0.25,0.25,0.6642
V1,0.25,0.26,0.6642
V1,0.25,0.27,0.6642
V1,0.25,0.28,0.6642
V1,0.25,0.29,0.6642
V1,0.25,0.3,0.6642
V1,0.25,0.31,0.6642
V1,0.25,0.32,0.6642
V1,0.25,0.33,0.6642
V1,0.25,0.34,0.6642
V1,0.25,0.35,0.6642
V1,0.25,0.36,0.6642
V1,0.25,0.37,0.6642
V1,0.25,0.38,0.6642
V1,0.25,0.39,0.6642
V1,0.25,0.4,0.6642
V1,0.25,0.41,0.6642
V1,0.25,0.42,0.6642
V1,0.25,0.43,0.6642
V1,0.25,0.44,0.6642
V1,0.25,0.45,0.6642
V1,0.25,0.46,0.6642
V1,0.25,0.47,0.6642
V1,0.25,0.48,0.6642
V1,0.25,0.49,0.6642
V1,0.25,0.5,0.6642
V1,0.25,0.51,0.6642
V1,0.25,0.52,0.6642
V1,0.25,0.53,0.6642
V1,0.25,0.54,0.6642
V1,0.25,0.55,0.6642
V1,0.25,0.56,0.6642
V1,0.25,0.57,0.6642
V1,0.25,0.58,0.6642
V1,0.25,0.59,0.6642
V1,0.25,0.6,0.6788
V1,0.25,0.61,0.6829
V1,0.25,0.62,0.6849
V1,0.25,0.63,0.6866
V1,0.25,0.64,0.6874
V1,0.25,0.65,0.6916
V1,0.25,0.66,0.6966
V1,0.25,0.67,0.6983
V1,0.25,0.68,0.7
V1,0.25,0.69,0.7005
V1,0.25,0.7,0.7035
V1,0.25,0.71,0.7052
V1,0.25,0.72,0.707
V1,0.25,0.73,0.7081
V1,0.25,0.74,0.7098
V1,0.25,0.75,0.7101
V1,0.25,0.76,0.7077
V1,0.25,0.77,0.7034
V1,0.25,0.78,0.6994
V1,0.25,0.79,0.6983
V1,0.25,0.8,0.6912
V1,0.25,0.81,0.6636
V1,0.25,0.82,0.6317
V1,0.25,0.83,0.5656
V1,0.25,0.84,0.5167
V1,0.25,0.85,0.3955
V1,0.25,0.86,0.2884
V1,0.25,0.87,0.2282
V1,0.25,0.88,0.1577
V1,0.25,0.89,0.0413
V1,0.25,0.9,0.0
V1,0.25,0.91,0.0
V1,0.25,0.92,0.0
V1,0.25,0.93,0.0
V1,0.25,0.94,0.0
V1,0.25,0.95,0.0
V1,0.3,0.05,0.6274
V1,0.3,0.06,0.6642
V1,0.3,0.07,0.6642
V1,0.3,0.08,0.6642
V1,0.3,0.09,0.6642
V1,0.3,0.1,0.6642
V1,0.3,0.11,0.6642
V1,0.3,0.12,0.6642
V1,0.3,0.13,0.6642
V1,0.3,0.14,0.6642
V1,0.3,0.15,0.6642
V1,0.3,0.16,0.6642
V1,0.3,0.17,0.6642
V1,0.3,0.18,0.6642
V1,0.3,0.19,0.6642
V1,0.3,0.2,0.6642
V1,0.3,0.21,0.6642
V1,0.3,0.22,0.6642
V1,0.3,0.23,0.6642
V1,0.3,0.24,0.6642
V1,0.3,0.25,0.6642
V1,0.3,0.26,0.6642
V1,0.3,0.27,0.6642
V1,0.3,0.28,0.6642
V1,0.3,0.29,0.6642
V1,0.3,0.3,0.6642
V1,0.3,0.31,0.6642
V1,0.3,0.32,0.6642
V1,0.3,0.33,0.6642
V1,0.3,0.34,0.6642
V1,0.3,0.35,0.6642
V1,0.3,0.36,0.6642
V1,0.3,0.37,0.6642
V1,0.3,0.38,0.6642
V1,0.3,0.39,0.6642
V1,0.3,0.4,0.6642
V1,0.3,0.41,0.6642
V1,0.3,0.42,0.6642
V1,0.3,0.43,0.6642
V1,0.3,0.44,0.6642
V1,0.3,0.45,0.6642
V1,0.3,0.46,0.6642
V1,0.3,0.47,0.6642
V1,0.3,0.48,0.6642
V1,0.3,0.49,0.6642
V1,0.3,0.5,0.6642
V1,0.3,0.51,0.6642
V1,0.3,0.52,0.6642
V1,0.3,0.53,0.6642
V1,0.3,0.54,0.6642
V1,0.3,0.55,0.6642
