scenario,atk_count,cycle,time_s,node_id,v_idx,is_attacker,label,phi_v1_i,phi_v2_i,phi_v3_i,s_BC,bcn_rate_i,tau_dir,zeta,zscore_v1_i,fanout_i,bcn_count_i,alert_in_i,alert_out_i,fm_count_i,xi_tm_i,detected,hmac_valid,pos_x,pos_y,last_vx,last_vy,ctrl_id,rsu_id
v1a,30,0,1.998,72,67,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1562.958,1747.808,19.0,19.0,3,54
v1a,30,0,1.998,73,68,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,835.765,1375.045,-20.0,-20.0,0,43
v1a,30,0,1.998,74,69,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,2078.996,1982.916,-19.0,-19.0,1,63
v1a,30,0,1.998,75,70,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,2100.52,1500.37,21.0,21.0,2,55
v1a,30,0,1.998,76,71,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1360.178,1983.918,-18.0,-18.0,3,61
v1a,30,0,1.998,77,72,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,2058.615,1460.445,-11.0,-11.0,0,47
v1a,30,0,1.998,78,73,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1027.232,1279.062,-14.0,-14.0,1,44
v1a,30,0,1.998,79,74,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,2065.301,1469.441,13.0,13.0,2,47
v1a,30,0,1.998,80,75,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,2067.809,1464.699,11.0,11.0,3,47
v1a,30,0,1.998,81,76,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1561.916,2011.916,-19.0,-19.0,0,62
v1a,30,0,1.998,82,77,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,2039.052,1787.042,14.0,14.0,1,63
v1a,30,0,1.998,83,78,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1586.756,1980.916,-19.0,-19.0,2,62
v1a,30,0,1.998,84,79,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1318.669,1214.919,11.0,11.0,3,37
v1a,30,0,1.998,85,80,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1620.758,2017.918,-18.0,-18.0,0,62
v1a,30,0,1.998,86,81,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1565.958,1846.098,19.0,19.0,1,62
v1a,30,0,1.998,87,82,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1576.275,1976.925,-11.0,-11.0,2,62
v1a,30,0,1.998,88,83,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1189.816,1803.176,18.0,18.0,3,60
v1a,30,0,1.998,89,84,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1615.279,2008.959,20.0,20.0,0,62
v1a,30,0,1.998,90,85,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1410.023,2224.2,21.0,21.0,1,61
v1a,30,0,1.998,91,86,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1564.924,1482.874,-12.0,-12.0,2,46
v1a,30,0,1.998,92,87,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1942.981,2188.168,-18.0,-18.0,3,63
v1a,30,0,1.998,93,88,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1043.204,1944.734,-12.0,-12.0,0,60
v1a,30,0,1.998,94,89,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,895.981,2220.528,-18.0,-18.0,1,59
v1a,30,0,1.998,95,90,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,2161.434,2015.954,16.0,16.0,2,63
v1a,30,0,1.998,96,91,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1342.018,2214.165,17.0,17.0,3,61
v1a,30,0,1.998,97,92,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1566.924,1434.354,-12.0,-12.0,0,46
v1a,30,0,1.998,98,93,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,2103.429,2008.959,20.0,20.0,1,63
v1a,30,0,1.998,99,94,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1446.626,1296.536,-19.0,-19.0,2,45
v1a,30,0,1.998,100,95,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1003.43,1158.03,12.0,12.0,3,36
v1a,30,0,1.998,101,96,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1535.952,1801.372,14.0,14.0,0,62
v1a,30,0,1.998,102,97,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,894.812,1417.932,-14.0,-14.0,1,43
v1a,30,0,1.998,103,98,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1533.921,1814.061,-15.0,-15.0,2,62
v1a,30,0,1.998,104,99,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1041.244,1607.984,-21.0,-21.0,3,52
v1a,30,0,1.998,105,100,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,865.46,1389.13,12.0,12.0,0,43
v1a,30,0,1.998,106,101,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,2081.994,1985.914,-21.0,-21.0,1,63
v1a,30,0,1.998,107,102,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,856.659,1380.959,-17.0,-17.0,2,43
v1a,30,0,1.998,108,103,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1534.96,1984.96,21.0,21.0,3,62
v1a,30,0,1.998,109,104,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,2112.901,2014.951,13.0,13.0,0,63
v1a,30,0,1.998,110,105,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1759.211,1425.701,-15.0,-15.0,1,47
v1a,30,0,1.998,111,106,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,2102.968,2010.918,-18.0,-18.0,2,63
v1a,30,0,1.998,112,107,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,905.389,1427.719,11.0,11.0,3,43
v1a,30,0,1.998,113,108,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1561.921,2011.921,-15.0,-15.0,0,62
v1a,30,0,1.998,114,109,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1977.932,1933.182,-14.0,-14.0,1,63
v1a,30,0,1.998,115,110,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1529.96,2175.18,21.0,21.0,2,62
v1a,30,0,1.998,116,111,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1532.92,1982.92,-16.0,-16.0,3,62
v1a,30,0,1.998,117,112,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1560.951,2010.951,13.0,13.0,0,62
v1a,30,0,1.998,118,113,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1561.919,2011.919,-17.0,-17.0,1,62
v1a,30,0,1.998,119,114,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1004.532,1650.322,14.0,14.0,2,52
v1a,30,0,1.998,120,115,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1539.378,1495.118,-18.0,-18.0,3,46
v1a,30,0,1.998,121,116,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1539.48,1495.32,12.0,12.0,0,46
v1a,30,0,1.998,122,117,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1535.919,1491.859,20.0,20.0,1,46
v1a,30,0,1.998,123,118,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1795.255,1978.955,17.0,17.0,2,63
v1a,30,0,1.998,124,119,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1502.263,1457.873,-13.0,-13.0,3,46
v1a,30,0,1.998,125,120,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1829.242,1212.582,14.0,14.0,0,39
v1a,30,0,1.998,126,121,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,971.845,2263.125,-11.0,-11.0,1,59
v1a,30,0,1.998,127,122,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1593.281,1336.101,13.0,13.0,2,46
v1a,30,0,1.998,128,123,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,943.836,2235.116,-19.0,-19.0,3,59
v1a,30,0,1.998,129,124,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1014.436,1182.776,-19.0,-19.0,0,36
v1a,30,0,1.998,130,125,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,838.175,1197.725,17.0,17.0,1,35
v1a,30,0,1.998,131,126,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1457.261,1709.491,-15.0,-15.0,2,53
v1a,30,0,1.998,132,127,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,876.87,1236.79,12.0,12.0,3,35
v1a,30,0,1.998,133,128,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1309.43,2161.65,-16.0,-16.0,0,61
v1a,30,0,1.998,134,129,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,865.191,1225.541,13.0,13.0,1,35
v1a,30,0,1.998,135,130,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,850.894,1805.554,-21.0,-21.0,2,59
v1a,30,0,1.998,136,131,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,879.619,1238.629,20.0,20.0,3,35
v1a,30,0,1.998,137,132,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1775.603,1527.373,15.0,15.0,0,55
v1a,30,0,1.998,138,133,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,933.18,2225.3,21.0,21.0,1,59
v1a,30,0,1.998,139,134,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,2115.401,2016.921,-15.0,-15.0,2,63
v1a,30,0,1.998,140,135,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,971.421,2263.201,-15.0,-15.0,3,59
v1a,30,0,1.998,141,136,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,2065.191,1250.781,13.0,13.0,0,47
