scenario,atk_count,cycle,time_s,row_type,node_id,fake_beacons_this_window,network_fake_mac_count,network_real_vehicle_count,rho_new_identity_diag,term1_fraction,term3_fraction,phi_v1_composite_net
v2b,180,3,6.998,NETWORK,0,,0,200,0.000000,0.900000,0.000000,0.900000
v2b,180,4,8.998,NETWORK,0,,0,200,0.000000,0.900000,0.000000,0.900000
v2b,180,5,10.998,NETWORK,0,,0,200,0.000000,0.900000,0.000000,0.900000
v2b,180,6,12.998,NETWORK,0,,0,200,0.000000,0.900000,0.000000,0.900000
v1a,30,0,1.998,ATTACKER,5,0,,,,,
v1a,30,0,1.998,ATTACKER,6,0,,,,,
v1a,30,0,1.998,ATTACKER,7,0,,,,,
v1a,30,0,1.998,ATTACKER,8,0,,,,,
v1a,30,0,1.998,ATTACKER,9,0,,,,,
v1a,30,0,1.998,ATTACKER,10,0,,,,,
v1a,30,0,1.998,ATTACKER,11,0,,,,,
v1a,30,0,1.998,ATTACKER,12,0,,,,,
v1a,30,0,1.998,ATTACKER,13,0,,,,,
v1a,30,0,1.998,ATTACKER,14,0,,,,,
v1a,30,0,1.998,ATTACKER,15,0,,,,,
v1a,30,0,1.998,ATTACKER,16,0,,,,,
v1a,30,0,1.998,ATTACKER,17,0,,,,,
v1a,30,0,1.998,ATTACKER,18,0,,,,,
v1a,30,0,1.998,ATTACKER,19,0,,,,,
v1a,30,0,1.998,ATTACKER,20,0,,,,,
v1a,30,0,1.998,ATTACKER,21,0,,,,,
v1a,30,0,1.998,ATTACKER,22,0,,,,,
v1a,30,0,1.998,ATTACKER,23,0,,,,,
v1a,30,0,1.998,ATTACKER,24,0,,,,,
v1a,30,0,1.998,ATTACKER,25,0,,,,,
v1a,30,0,1.998,ATTACKER,26,0,,,,,
v1a,30,0,1.998,ATTACKER,27,0,,,,,
v1a,30,0,1.998,ATTACKER,28,0,,,,,
v1a,30,0,1.998,ATTACKER,29,0,,,,,
v1a,30,0,1.998,ATTACKER,30,0,,,,,
v1a,30,0,1.998,ATTACKER,31,0,,,,,
v1a,30,0,1.998,ATTACKER,32,0,,,,,
v1a,30,0,1.998,ATTACKER,33,0,,,,,
v1a,30,0,1.998,ATTACKER,34,0,,,,,
v1a,30,0,1.998,NETWORK,0,,0,200,0.000000,0.150000,0.000000,0.150000
v1a,30,1,2.998,ATTACKER,5,10,,,,,
v1a,30,1,2.998,ATTACKER,6,10,,,,,
v1a,30,1,2.998,ATTACKER,7,10,,,,,
v1a,30,1,2.998,ATTACKER,8,10,,,,,
v1a,30,1,2.998,ATTACKER,9,10,,,,,
v1a,30,1,2.998,ATTACKER,10,10,,,,,
v1a,30,1,2.998,ATTACKER,11,10,,,,,
v1a,30,1,2.998,ATTACKER,12,10,,,,,
v1a,30,1,2.998,ATTACKER,13,10,,,,,
v1a,30,1,2.998,ATTACKER,14,10,,,,,
v1a,30,1,2.998,ATTACKER,15,10,,,,,
v1a,30,1,2.998,ATTACKER,16,10,,,,,
v1a,30,1,2.998,ATTACKER,17,10,,,,,
v1a,30,1,2.998,ATTACKER,18,10,,,,,
v1a,30,1,2.998,ATTACKER,19,10,,,,,
v1a,30,1,2.998,ATTACKER,20,10,,,,,
v1a,30,1,2.998,ATTACKER,21,10,,,,,
v1a,30,1,2.998,ATTACKER,22,10,,,,,
v1a,30,1,2.998,ATTACKER,23,10,,,,,
v1a,30,1,2.998,ATTACKER,24,10,,,,,
v1a,30,1,2.998,ATTACKER,25,10,,,,,
v1a,30,1,2.998,ATTACKER,26,10,,,,,
v1a,30,1,2.998,ATTACKER,27,10,,,,,
v1a,30,1,2.998,ATTACKER,28,10,,,,,
v1a,30,1,2.998,ATTACKER,29,10,,,,,
v1a,30,1,2.998,ATTACKER,30,10,,,,,
v1a,30,1,2.998,ATTACKER,31,10,,,,,
v1a,30,1,2.998,ATTACKER,32,10,,,,,
v1a,30,1,2.998,ATTACKER,33,10,,,,,
v1a,30,1,2.998,ATTACKER,34,10,,,,,
v1a,30,1,2.998,NETWORK,0,,300,200,0.600000,0.660000,0.660000,1.920000
v1a,30,2,4.998,ATTACKER,5,10,,,,,
v1a,30,2,4.998,ATTACKER,6,10,,,,,
v1a,30,2,4.998,ATTACKER,7,10,,,,,
v1a,30,2,4.998,ATTACKER,8,10,,,,,
v1a,30,2,4.998,ATTACKER,9,10,,,,,
v1a,30,2,4.998,ATTACKER,10,10,,,,,
v1a,30,2,4.998,ATTACKER,11,10,,,,,
v1a,30,2,4.998,ATTACKER,12,10,,,,,
v1a,30,2,4.998,ATTACKER,13,10,,,,,
v1a,30,2,4.998,ATTACKER,14,10,,,,,
v1a,30,2,4.998,ATTACKER,15,10,,,,,
v1a,30,2,4.998,ATTACKER,16,10,,,,,
v1a,30,2,4.998,ATTACKER,17,10,,,,,
v1a,30,2,4.998,ATTACKER,18,10,,,,,
v1a,30,2,4.998,ATTACKER,19,10,,,,,
