scenario,atk_count,cycle,time_s,t_mem,rho_novelty_override,atk_events,novel_events,rho_novelty
v2b,150,5,10.000000,5.000000,-1.000000,431,0,0.000000
v2b,150,6,12.000000,5.000000,-1.000000,3,0,0.000000
v2b,150,7,14.000000,5.000000,-1.000000,432,0,0.000000
v2b,150,8,14.500000,5.000000,-1.000000,0,0,0.000000
v2b,180,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2b,180,2,4.000000,5.000000,-1.000000,518,181,0.349421
v2b,180,3,6.000000,5.000000,-1.000000,517,0,0.000000
v2b,180,4,8.000000,5.000000,-1.000000,514,0,0.000000
v2b,180,5,10.000000,5.000000,-1.000000,517,0,0.000000
v2b,180,6,12.000000,5.000000,-1.000000,3,0,0.000000
v2b,180,7,14.000000,5.000000,-1.000000,517,0,0.000000
v2b,180,8,14.500000,5.000000,-1.000000,0,0,0.000000
v1a,30,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1a,30,2,4.000000,5.000000,-1.000000,600,30,0.050000
v1a,30,3,6.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,4,8.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,5,10.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,6,12.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,7,14.000000,5.000000,-1.000000,600,0,0.000000
v1a,30,8,14.500000,5.000000,-1.000000,30,0,0.000000
v1a,60,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1a,60,2,4.000000,5.000000,-1.000000,1200,60,0.050000
v1a,60,3,6.000000,5.000000,-1.000000,1200,0,0.000000
v1a,60,4,8.000000,5.000000,-1.000000,1200,0,0.000000
v1a,60,5,10.000000,5.000000,-1.000000,1200,0,0.000000
v1a,60,6,12.000000,5.000000,-1.000000,1200,0,0.000000
v1a,60,7,14.000000,5.000000,-1.000000,1200,0,0.000000
v1a,60,8,14.500000,5.000000,-1.000000,60,0,0.000000
v1a,90,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1a,90,2,4.000000,5.000000,-1.000000,1800,90,0.050000
v1a,90,3,6.000000,5.000000,-1.000000,1800,0,0.000000
v1a,90,4,8.000000,5.000000,-1.000000,1800,0,0.000000
v1a,90,5,10.000000,5.000000,-1.000000,1800,0,0.000000
v1a,90,6,12.000000,5.000000,-1.000000,1800,0,0.000000
v1a,90,7,14.000000,5.000000,-1.000000,1800,0,0.000000
v1a,90,8,14.500000,5.000000,-1.000000,90,0,0.000000
v1a,120,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1a,120,2,4.000000,5.000000,-1.000000,2400,120,0.050000
v1a,120,3,6.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,4,8.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,5,10.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,6,12.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,7,14.000000,5.000000,-1.000000,2400,0,0.000000
v1a,120,8,14.500000,5.000000,-1.000000,120,0,0.000000
v1a,150,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1a,150,2,4.000000,5.000000,-1.000000,3000,150,0.050000
v1a,150,3,6.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,4,8.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,5,10.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,6,12.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,7,14.000000,5.000000,-1.000000,3000,0,0.000000
v1a,150,8,14.500000,5.000000,-1.000000,150,0,0.000000
v1a,180,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1a,180,2,4.000000,5.000000,-1.000000,3600,180,0.050000
v1a,180,3,6.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,4,8.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,5,10.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,6,12.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,7,14.000000,5.000000,-1.000000,3600,0,0.000000
v1a,180,8,14.500000,5.000000,-1.000000,180,0,0.000000
